subset_date~date;geo_1~localite;geo_2~filet;pie_1~statut_migrateur;subset_1~statut_agronomique;quantity~quantite;IUCN_id;subset_3_x~espece;link~URL;subset_2~iucn_cat
1895-11-26;Peyrissas;f_002;reproducteur;auxiliaire;4;22720990;Emberiza melanocephala;https://www.iucnredlist.org/species/22720990/89314245;LC
1896-03-31;Gardouch;f_003;migrateur;non concerné;3;22709315;Ficedula albicollis;https://www.iucnredlist.org/species/22709315/155539425;LC
1879-05-23;Lavelanet;f_001;inconnu;susceptible de provoquer des dégats;4;22693072;Scolopax minor;https://www.iucnredlist.org/species/22693072/93382120;LC
1878-08-15;Lavelanet;f_008;migrateur;susceptible de provoquer des dégats;3;22697211;Nycticorax nycticorax;https://www.iucnredlist.org/species/22697211/155515762;LC
1886-03-22;Lavelanet;f_007;migrateur;auxiliaire;2;22732425;Melanitta americana;https://www.iucnredlist.org/species/22732425/132662655;NT
1896-10-31;Lavelanet;f_004;migrateur;susceptible de provoquer des dégats;4;22680358;Aythya ferina;https://www.iucnredlist.org/species/22680358/155473754;VU
1896-06-27;Gardouch;f_006;reproducteur;non concerné;2;22678944;Coturnix coturnix;https://www.iucnredlist.org/species/22678944/131904485;LC
1891-08-18;Peyrissas;f_004;migrateur;non concerné;4;22693150;Limosa limosa;https://www.iucnredlist.org/species/22693150/111611637;NT
1900-07-08;Lavelanet;f_009;migrateur;susceptible de provoquer des dégats;3;22694497;Rissa tridactyla;https://www.iucnredlist.org/species/22694497/155617539;VU
1898-06-10;Gardouch;f_006;reproducteur;susceptible de provoquer des dégats;4;22714445;Cettia cetti;https://www.iucnredlist.org/species/22714445/111073290;LC
1891-11-03;Gardouch;f_003;reproducteur;auxiliaire;3;22680462;Bucephala albeola;https://www.iucnredlist.org/species/22680462/92863192;LC
1887-09-05;Lavelanet;f_004;reproducteur;auxiliaire;4;22693404;Calidris bairdii;https://www.iucnredlist.org/species/22693404/129653281;LC
1876-01-28;Lavelanet;f_008;migrateur;non concerné;3;22712427;Petrochelidon pyrrhonota;https://www.iucnredlist.org/species/22712427/94333165;LC
1869-02-26;Gardouch;f_006;reproducteur;susceptible de provoquer des dégats;4;22717285;Melanocorypha calandra;https://www.iucnredlist.org/species/22717285/87485192;LC
1891-05-05;Lavelanet;f_005;migrateur;non concerné;3;22735002;Regulus ignicapilla;https://www.iucnredlist.org/species/22735002/87781502;LC
1891-10-17;Lavelanet;f_010;inconnu;non concerné;4;22714891;Iduna caligata;https://www.iucnredlist.org/species/22714891/111100210;LC
1896-07-13;Lavelanet;f_005;inconnu;auxiliaire;5;22678944;Coturnix coturnix;https://www.iucnredlist.org/species/22678944/131904485;LC
1889-08-03;Lavelanet;f_008;reproducteur;auxiliaire;4;103843725;Phylloscopus collybita;https://www.iucnredlist.org/species/103843725/155613186;LC
1887-11-04;Peyrissas;f_003;migrateur;auxiliaire;4;22712427;Petrochelidon pyrrhonota;https://www.iucnredlist.org/species/22712427/94333165;LC
1876-07-29;Gardouch;f_006;reproducteur;auxiliaire;4;22696610;Podiceps nigricollis;https://www.iucnredlist.org/species/22696610/132584321;LC
1892-08-24;Lavelanet;f_006;reproducteur;auxiliaire;4;22694927;Fratercula arctica;https://www.iucnredlist.org/species/22694927/132581443;VU
1886-10-18;Lavelanet;f_006;reproducteur;auxiliaire;2;22735002;Regulus ignicapilla;https://www.iucnredlist.org/species/22735002/87781502;LC
1876-09-13;Lavelanet;f_009;migrateur;susceptible de provoquer des dégats;3;22714891;Iduna caligata;https://www.iucnredlist.org/species/22714891/111100210;LC
1893-06-15;Gardouch;f_001;inconnu;non concerné;2;103768039;Emberiza spodocephala;https://www.iucnredlist.org/species/103768039/94694421;LC
1901-06-04;Gardouch;f_003;reproducteur;susceptible de provoquer des dégats;3;22724354;Molothrus ater;https://www.iucnredlist.org/species/22724354/132175819;LC
1907-06-17;Peyrissas;f_003;migrateur;non concerné;3;22718379;Motacilla citreola;https://www.iucnredlist.org/species/22718379/154492004;LC
1887-10-09;Peyrissas;f_002;migrateur;auxiliaire;3;22678944;Coturnix coturnix;https://www.iucnredlist.org/species/22678944/131904485;LC
